Date,USD
5/8/2011,44.803
4/8/2011,44.4163
3/8/2011,44.3795
2/8/2011,44.2288
1/8/2011,44.0485
29/07/2011,44.1553
28/07/2011,44.1263
27/07/2011,43.9485
26/07/2011,44.2873
25/07/2011,44.416
22/07/2011,44.3763
21/07/2011,44.4328
20/07/2011,44.4603
19/07/2011,44.5868
18/07/2011,44.5743
15/07/2011,44.5262
14/07/2011,44.5278
13/07/2011,44.588
12/7/2011,44.6878
11/7/2011,44.3705
8/7/2011,44.3263
7/7/2011,44.4173
6/7/2011,44.383
5/7/2011,44.4988
4/7/2011,44.4595
1/7/2011,44.5855
30/06/2011,44.72
29/06/2011,44.94
28/06/2011,45.05
27/06/2011,45.1
24/06/2011,44.94
23/06/2011,44.93
22/06/2011,44.82
21/06/2011,44.91
20/06/2011,44.99
17/06/2011,44.93
16/06/2011,44.9
15/06/2011,44.68
14/06/2011,44.77
13/06/2011,44.87
10/6/2011,44.72
9/6/2011,44.72
8/6/2011,44.61
7/6/2011,44.74
6/6/2011,44.72
3/6/2011,44.85
2/6/2011,44.94
1/6/2011,44.89
31/05/2011,45.03
30/05/2011,45.1
27/05/2011,45.21
26/05/2011,45.29
25/05/2011,45.38
24/05/2011,45.25
23/05/2011,45.28
20/05/2011,44.93
19/05/2011,44.98
18/05/2011,45.08
16/05/2011,45.07
13/05/2011,44.91
12/5/2011,44.79
11/5/2011,44.69
10/5/2011,44.73
9/5/2011,44.7
6/5/2011,44.78
5/5/2011,44.57
4/5/2011,44.59
3/5/2011,44.34
2/5/2011,44.3
29/04/2011,44.38
28/04/2011,44.33
27/04/2011,44.4
26/04/2011,44.59
25/04/2011,44.45
21/04/2011,44.3
20/04/2011,44.38
19/04/2011,44.68
18/04/2011,44.27
15/04/2011,44.52
13/04/2011,44.48
11/4/2011,44.2
8/4/2011,44.04
7/4/2011,44.22
6/4/2011,44.2
5/4/2011,44.45
31/03/2011,44.65
30/03/2011,44.77
29/03/2011,44.67
28/03/2011,44.78
25/03/2011,44.65
24/03/2011,44.77
23/03/2011,44.96
22/03/2011,44.97
21/03/2011,45.05
18/03/2011,45.09
17/03/2011,45.24
16/03/2011,45.18
15/03/2011,45.27
14/03/2011,45.15
11/3/2011,45.21
10/3/2011,45.11
9/3/2011,45.02
8/3/2011,45.03
7/3/2011,45.13
4/3/2011,44.99
3/3/2011,44.96
1/3/2011,45.12
28/02/2011,45.18
25/02/2011,45.37
24/02/2011,45.37
23/02/2011,45.2
22/02/2011,45.2
21/02/2011,45.11
18/02/2011,45.18
17/02/2011,45.38
15/02/2011,45.45
14/02/2011,45.5
11/2/2011,45.76
10/2/2011,45.58
9/2/2011,45.33
8/2/2011,45.39
7/2/2011,45.59
4/2/2011,45.64
3/2/2011,45.63
2/2/2011,45.63
1/2/2011,45.81
31/01/2011,45.95
28/01/2011,45.74
27/01/2011,45.57
25/01/2011,45.53
24/01/2011,45.58
21/01/2011,45.7
20/01/2011,45.58
19/01/2011,45.38
18/01/2011,45.53
17/01/2011,45.59
14/01/2011,45.3
13/01/2011,45.13
12/1/2011,45.16
11/1/2011,45.32
10/1/2011,45.44
7/1/2011,45.37
6/1/2011,45.31
5/1/2011,45.2
4/1/2011,44.84
3/1/2011,44.67
31/12/2010,44.81
30/12/2010,44.9
29/12/2010,45.12
28/12/2010,45.17
